model,regime,seed,cp_method,cov_stressed,cov_all,stress_drop
lstm,G,42,mondrian_cqr,0.8947368421052632,0.8842519685039371,0.010484873601326106
lstm,G,42,native,0.8973684210526316,0.9236220472440945,-0.026253626191462875
lstm,G,42,pid_cqr,0.8631578947368421,0.8283464566929134,0.03481143804392872
lstm,G,42,pid_local_cqr,0.8763157894736842,0.8362204724409449,0.040095317032739275
lstm,G,42,pid_tan_cqr,0.8710526315789474,0.8519685039370078,0.019084127641939563
lstm,G,42,saocp_cqr,0.9315789473684211,0.9393700787401574,-0.007791131371736371
lstm,G,42,sfogd_cqr,0.8552631578947368,0.8125984251968504,0.0426647326978864
lstm,G,42,spci_cqr,0.8315789473684211,0.7913385826771654,0.04024036469125569
lstm,G,43,aci_cqr,0.8657894736842106,0.8377952755905512,0.027994198093659328
lstm,G,43,agaci_cqr,0.8421052631578947,0.8236220472440945,0.0184832159138002
lstm,G,43,cqr_rolling,0.8578947368421053,0.841732283464567,0.0161624533775383
lstm,G,43,cqr_static,0.8578947368421053,0.8771653543307086,-0.01927061748860337
lstm,G,43,decay_ocp_cqr,0.9157894736842105,0.9299212598425197,-0.014131786158309234
lstm,G,43,dtaci_cqr,0.868421052631579,0.8409448818897638,0.027476170741815187
lstm,G,43,mondrian_cqr,0.8868421052631579,0.8582677165354331,0.028574388727724775
lstm,G,43,native,0.9447368421052632,0.9590551181102362,-0.01431827600497304
lstm,G,43,pid_cqr,0.8473684210526315,0.8283464566929134,0.019021964359718146
lstm,G,43,pid_local_cqr,0.8605263157894737,0.8275590551181102,0.03296726067136346
lstm,G,43,pid_tan_cqr,0.8421052631578947,0.8393700787401575,0.0027351844177372353
lstm,G,43,saocp_cqr,0.9631578947368421,0.9661417322834646,-0.0029838375466224587
lstm,G,43,sfogd_cqr,0.8473684210526315,0.8118110236220473,0.03555739743058428
lstm,G,43,spci_cqr,0.8131578947368421,0.7803149606299212,0.03284293410692085
lstm,G,44,aci_cqr,0.8710526315789474,0.8385826771653543,0.03246995441359313
lstm,G,44,agaci_cqr,0.8578947368421053,0.8291338582677166,0.028760878574388693
lstm,G,44,cqr_rolling,0.8710526315789474,0.8456692913385827,0.025383340240364705
lstm,G,44,cqr_static,0.868421052631579,0.8913385826771654,-0.022917530045586387
lstm,G,44,decay_ocp_cqr,0.8473684210526315,0.8488188976377953,-0.0014504765851637291
lstm,G,44,dtaci_cqr,0.8710526315789474,0.8401574803149606,0.030895151263986786
lstm,G,44,mondrian_cqr,0.9,0.8724409448818897,0.0275590551181103
lstm,G,44,native,0.6368421052631579,0.6535433070866141,-0.016701201823456246
lstm,G,44,pid_cqr,0.8578947368421053,0.8181102362204724,0.03978450062163286
lstm,G,44,pid_local_cqr,0.8552631578947368,0.815748031496063,0.03951512639867383
lstm,G,44,pid_tan_cqr,0.8605263157894737,0.8338582677165355,0.02666804807293821
lstm,G,44,saocp_cqr,0.8736842105263158,0.8535433070866142,0.020140903439701652
lstm,G,44,sfogd_cqr,0.8526315789473684,0.8102362204724409,0.04239535847492748
lstm,G,44,spci_cqr,0.8421052631578947,0.778740157480315,0.06336510567757969
lstm,GF,42,aci_cqr,0.8868421052631579,0.8346456692913385,0.05219643597181933
lstm,GF,42,agaci_cqr,0.8710526315789474,0.8283464566929134,0.04270617488603401
lstm,GF,42,cqr_rolling,0.8947368421052632,0.8472440944881889,0.04749274761707423
lstm,GF,42,cqr_static,0.9236842105263158,0.9448818897637795,-0.02119767923746374
lstm,GF,42,decay_ocp_cqr,0.8947368421052632,0.9275590551181102,-0.032822213012847046
lstm,GF,42,dtaci_cqr,0.8842105263157894,0.8354330708661417,0.04877745544964773
lstm,GF,42,mondrian_cqr,0.8973684210526316,0.8779527559055118,0.019415665147119787
lstm,GF,42,native,0.8894736842105263,0.9204724409448819,-0.030998756734355593
lstm,GF,42,pid_cqr,0.868421052631579,0.8291338582677166,0.03928719436386241
lstm,GF,42,pid_local_cqr,0.8657894736842106,0.8377952755905512,0.027994198093659328
