model,regime,seed,cp_method,regime_label,coverage,winkler,skill,skill_iqr,n_countries,regime_kind
lgbm,GI,42,dtaci_cqr,hiking,0.7884615384615384,0.30091588967862914,0.07828720638113318,0.37893505745440664,10,calendar
lgbm,GI,42,dtaci_cqr,qe,0.8373333333333334,0.5204260100792102,0.07266879652278657,0.061129544054243284,10,calendar
lgbm,GI,42,mondrian_cqr,hiking,0.8615384615384616,0.32588268845092994,0.0037668782411346413,0.42366612830488454,10,calendar
lgbm,GI,42,mondrian_cqr,qe,0.8573333333333333,0.5540106708398637,0.022707886555779266,0.10815842493848157,10,calendar
lgbm,GI,42,native,hiking,0.875,0.3257721099004822,0.04889182891638366,0.24504208336452177,10,calendar
lgbm,GI,42,native,qe,0.8373333333333334,0.5187416001610231,0.09150230841798196,0.047519959583547156,10,calendar
lgbm,GI,42,pid_cqr,hiking,0.7846153846153846,0.3090430934574599,0.03568050905560055,0.34977940586608414,10,calendar
lgbm,GI,42,pid_cqr,qe,0.8213333333333334,0.5197681956041688,0.06580451971362211,0.06462499697287447,10,calendar
lgbm,GI,42,pid_local_cqr,hiking,0.7961538461538461,0.3268665087947023,-0.011948660865670813,0.3075038024901281,10,calendar
lgbm,GI,42,pid_local_cqr,qe,0.8093333333333333,0.5164262293882897,0.05751369414706059,0.061835370322882166,10,calendar
lgbm,GI,42,pid_tan_cqr,hiking,0.801923076923077,0.33992192969445345,-0.07924117699590388,0.4817509745803108,10,calendar
lgbm,GI,42,pid_tan_cqr,qe,0.8213333333333334,0.6216178587348524,-0.0838735495377595,0.056011489269031434,10,calendar
lgbm,GI,42,saocp_cqr,hiking,0.9134615384615384,0.3428258088207403,0.004002313802050184,0.296567837971458,10,calendar
lgbm,GI,42,saocp_cqr,qe,0.888,0.5702941878130011,-0.0186294835559786,0.07494777750253498,10,calendar
lgbm,GI,42,sfogd_cqr,hiking,0.7884615384615384,0.3391265267307606,0.004296992676834421,0.35954770644451595,10,calendar
lgbm,GI,42,sfogd_cqr,qe,0.8106666666666666,0.5381182186919249,0.034266264340570785,0.04651261563857115,10,calendar
lgbm,GI,42,spci_cqr,hiking,0.7346153846153847,0.3202204283251977,0.07899627694141687,0.4771216586693195,10,calendar
lgbm,GI,42,spci_cqr,qe,0.7786666666666666,0.5394033489337203,0.036024745996638075,0.1348324747722872,10,calendar
lgbm,L,42,aci_cqr,hiking,0.7903846153846154,0.24870338325164906,0.0719635538826352,0.6346618857590909,10,calendar
lgbm,L,42,aci_cqr,qe,0.8346666666666667,0.5513658781942581,0.04657498301259333,0.08422809260662303,10,calendar
lgbm,L,42,agaci_cqr,hiking,0.7903846153846154,0.24834581798325406,0.07506344856222613,0.6216512293833594,10,calendar
lgbm,L,42,agaci_cqr,qe,0.832,0.5427069886935968,0.05702569016279779,0.07593567627318246,10,calendar
lgbm,L,42,cqr_rolling,hiking,0.8,0.24634602751854795,0.0828636641069671,0.63525028107147,10,calendar
