country,model,regime,seed,cp_method,mcs_pval,in_mcs
IT,lstm,GF,43,pid_cqr,0.297,True
IT,lstm,GI,44,pid_local_cqr,0.297,True
IT,lstm,L,42,pid_cqr,0.297,True
IT,lstm_const,G,43,agaci_cqr,0.297,True
IT,lstm_const,GF,43,agaci_cqr,0.297,True
IT,lstm_const,L,44,aci_cqr,0.297,True
IT,rw,L,42,aci_cqr,0.297,True
IT,rw,L,42,native,0.297,True
IT,tirex,ZS,42,native,0.297,True
IT,tirex2,ZS,42,cqr_static,0.297,True
IT,tirex2_cov,ZS,42,native,0.297,True
IT,xlstm,G,43,pid_cqr,0.297,True
IT,xlstm,GF,43,cqr_rolling,0.297,True
IT,xlstm,GI,42,native,0.297,True
IT,xlstm,L,44,native,0.297,True
IT,xlstm_const,G,44,pid_cqr,0.297,True
IT,xlstm_const,GF,43,dtaci_cqr,0.297,True
IT,xlstm_const,L,42,spci_cqr,0.297,True
NL,arma_monthly,L,42,dtaci_cqr,0.042,False
NL,arma,L,42,dtaci_cqr,0.094,False
NL,lgbm,G,42,decay_ocp_cqr,0.406,True
NL,lgbm,GI,42,cqr_rolling,0.406,True
NL,lgbm,L,42,native,0.406,True
NL,lgbm_const,G,42,cqr_rolling,0.406,True
NL,lgbm_const,L,42,aci_cqr,0.406,True
NL,lstm,G,43,pid_cqr,0.406,True
NL,lstm,GF,43,pid_cqr,0.406,True
NL,lstm,GI,44,pid_local_cqr,0.406,True
NL,lstm,L,42,pid_cqr,0.406,True
NL,lstm_const,G,43,agaci_cqr,0.406,True
NL,lstm_const,GF,43,agaci_cqr,0.406,True
NL,lstm_const,L,44,aci_cqr,0.406,True
NL,rw,L,42,aci_cqr,0.406,True
NL,rw,L,42,native,0.406,True
NL,tirex,ZS,42,native,0.406,True
NL,tirex2,ZS,42,cqr_static,0.406,True
NL,tirex2_cov,ZS,42,native,0.406,True
NL,xlstm,G,43,pid_cqr,0.406,True
NL,xlstm,GF,43,cqr_rolling,0.406,True
NL,xlstm,GI,42,native,0.406,True
NL,xlstm,L,44,native,0.406,True
