label,rq,a,b,median_dbar_norm,share_a_better,share_sig,median_p,t_panel,n_countries,median_q,share_sig_fdr
XM lstm_const/G/agaci_cqr vs lstm/L/pid_cqr,XM,lstm_const/G/43/agaci_cqr,lstm/L/42/pid_cqr,-0.04061713918137972,0.9,0.3,0.23657475051835375,-2.1618660423969374,10,0.504036162897989,0.0
XM lstm_const/G/agaci_cqr vs arma_monthly/L/dtaci_cqr,XM,lstm_const/G/43/agaci_cqr,arma_monthly/L/42/dtaci_cqr,-0.01826488357376225,0.6,0.3,0.39567461284149763,-1.739411854771929,10,0.6429490102981897,0.2
XM lstm_const/G/agaci_cqr vs arma/L/dtaci_cqr,XM,lstm_const/G/43/agaci_cqr,arma/L/42/dtaci_cqr,-0.025636684162372504,0.6,0.3,0.3907436578287272,-1.7215181832307935,10,0.6486867338179392,0.2
XM lgbm_const/G/cqr_rolling vs xlstm/L/native,XM,lgbm_const/G/42/cqr_rolling,xlstm/L/44/native,-0.001661619061150795,0.5,0.0,0.687523924637217,-0.33959856157289203,10,0.8285282841053323,0.0
XM lgbm_const/G/cqr_rolling vs rw/L/aci_cqr,XM,lgbm_const/G/42/cqr_rolling,rw/L/42/aci_cqr,0.018549876396559528,0.3,0.4,0.26270978578941295,1.3361866000658245,10,0.5300307025466541,0.2
XM lgbm_const/G/cqr_rolling vs xlstm_const/L/spci_cqr,XM,lgbm_const/G/42/cqr_rolling,xlstm_const/L/42/spci_cqr,-0.05846075197184781,0.7,0.4,0.14010938120899874,-1.2304419082025355,10,0.37976195128074886,0.2
XM lgbm_const/G/cqr_rolling vs lstm/L/pid_cqr,XM,lgbm_const/G/42/cqr_rolling,lstm/L/42/pid_cqr,-0.023807355364673922,0.6,0.3,0.3371666959213332,-0.1737477763022585,10,0.6033233988037565,0.0
XM lgbm_const/G/cqr_rolling vs arma_monthly/L/dtaci_cqr,XM,lgbm_const/G/42/cqr_rolling,arma_monthly/L/42/dtaci_cqr,0.0008057232069767872,0.4,0.5,0.1881558485952689,0.1481352709757139,10,0.4196330713704782,0.2
XM lgbm_const/G/cqr_rolling vs arma/L/dtaci_cqr,XM,lgbm_const/G/42/cqr_rolling,arma/L/42/dtaci_cqr,-0.0019772314633593247,0.5,0.4,0.26597064975154006,0.040102078788566496,10,0.4893777897311191,0.2
XM xlstm/L/native vs rw/L/aci_cqr,XM,xlstm/L/44/native,rw/L/42/aci_cqr,0.016002373786523374,0.2,0.2,0.40742446878203886,1.4777698504017365,10,0.6564162589463247,0.2
XM xlstm/L/native vs xlstm_const/L/spci_cqr,XM,xlstm/L/44/native,xlstm_const/L/42/spci_cqr,-0.04498911647789733,0.6,0.4,0.14806913712848624,-1.0992902674271083,10,0.3866776983025944,0.1
XM xlstm/L/native vs lstm/L/pid_cqr,XM,xlstm/L/44/native,lstm/L/42/pid_cqr,0.004957524970971421,0.4,0.2,0.5930648215971768,0.08810002539339769,10,0.7763632165355969,0.0
XM xlstm/L/native vs arma_monthly/L/dtaci_cqr,XM,xlstm/L/44/native,arma_monthly/L/42/dtaci_cqr,-0.005036051849156337,0.6,0.3,0.5285638293586314,0.3815481781909157,10,0.721757743405595,0.1
XM xlstm/L/native vs arma/L/dtaci_cqr,XM,xlstm/L/44/native,arma/L/42/dtaci_cqr,-0.009119256630498802,0.6,0.3,0.4200465224082641,0.2835184822458864,10,0.6639958516591646,0.2
XM rw/L/aci_cqr vs xlstm_const/L/spci_cqr,XM,rw/L/42/aci_cqr,xlstm_const/L/42/spci_cqr,-0.06637563006313695,0.8,0.4,0.13559747788066157,-2.1989985371347442,10,0.3727904807805372,0.3
XM rw/L/aci_cqr vs lstm/L/pid_cqr,XM,rw/L/42/aci_cqr,lstm/L/42/pid_cqr,-0.03329179037849513,0.6,0.1,0.3695278170108858,-1.4818973020738846,10,0.6293744081085382,0.1
XM rw/L/aci_cqr vs arma_monthly/L/dtaci_cqr,XM,rw/L/42/aci_cqr,arma_monthly/L/42/dtaci_cqr,-0.01821167254148951,0.8,0.2,0.5505178402605541,-2.0587941309100786,10,0.7491770616577993,0.1
XM rw/L/aci_cqr vs arma/L/dtaci_cqr,XM,rw/L/42/aci_cqr,arma/L/42/dtaci_cqr,-0.02594558686191,0.8,0.2,0.4833259526880791,-2.097213037867758,10,0.7076578585916093,0.0
XM xlstm_const/L/spci_cqr vs lstm/L/pid_cqr,XM,xlstm_const/L/42/spci_cqr,lstm/L/42/pid_cqr,0.03136445425032065,0.2,0.2,0.3919538993030174,1.1365327650943216,10,0.6515982117633206,0.0
XM xlstm_const/L/spci_cqr vs arma_monthly/L/dtaci_cqr,XM,xlstm_const/L/42/spci_cqr,arma_monthly/L/42/dtaci_cqr,0.05198486127419794,0.3,0.5,0.16493670529830573,1.2394398131396926,10,0.39234912957630413,0.2
XM xlstm_const/L/spci_cqr vs arma/L/dtaci_cqr,XM,xlstm_const/L/42/spci_cqr,arma/L/42/dtaci_cqr,0.039230403443876065,0.3,0.5,0.18718604055541077,1.1200608097222624,10,0.41163880069200226,0.2
XM lstm/L/pid_cqr vs arma_monthly/L/dtaci_cqr,XM,lstm/L/42/pid_cqr,arma_monthly/L/42/dtaci_cqr,0.008702120204675031,0.4,0.3,0.4495631335579682,0.3715986110723995,10,0.6868344991433815,0.1
XM lstm/L/pid_cqr vs arma/L/dtaci_cqr,XM,lstm/L/42/pid_cqr,arma/L/42/dtaci_cqr,-0.0038029137733507612,0.5,0.2,0.3710114851416211,0.2457142928715737,10,0.6308822544044469,0.1
XM arma_monthly/L/dtaci_cqr vs arma/L/dtaci_cqr,XM,arma_monthly/L/42/dtaci_cqr,arma/L/42/dtaci_cqr,-0.002800757650758829,0.5,0.0,0.34912586447876837,-0.5923392616127984,10,0.6148411607877751,0.0
