pool_mode,model,regime,seed,cp_method,country,n,coverage,cov_se_mbb,cov_first36,cov_rest,winkler,width,under_pen,over_pen,tail_asym,pinball,skill,mae_ratio,rmse_ratio,dir_acc,pt_stat,pt_p,crossed_cal_rate
expanding,lstm_const,GF,44,pid_cqr,AT,127,0.8110236220472441,0.032583681952763795,0.8055555555555556,0.8131868131868132,0.16364072312674824,0.1054970097066693,0.02298950492921224,0.03515420849086678,0.5833333333333334,0.011646428225292067,0.05578364933421587,1.1645326274844243,1.144333905695639,0.5826771653543307,0.5545759373524175,0.5791847515400148,0.0
expanding,lstm_const,GF,44,pid_cqr,BE,127,0.8110236220472441,0.03178638568700324,0.8055555555555556,0.8131868131868132,0.18736370866990815,0.13190034908388748,0.02264183800249742,0.03282152158352327,0.4166666666666667,0.013808480131094893,0.13764293372721037,1.150304123688351,1.1507689830132302,0.5590551181102362,0.24267998748223385,0.8082533117520925,0.0
expanding,lstm_const,GF,44,pid_cqr,ES,127,0.8188976377952756,0.029834520358504757,0.8055555555555556,0.8241758241758241,0.33414085579760794,0.26008199047860114,0.027596800024954096,0.04646206529405271,0.6086956521739131,0.02258026630501682,0.1592092019183894,1.0949372330985288,1.059571694290985,0.5748031496062992,-0.2997389365343063,0.7643762962677378,0.0
expanding,lstm_const,GF,44,pid_cqr,FI,127,0.8031496062992126,0.040244680746127755,0.8055555555555556,0.8021978021978022,0.17981539803294852,0.10263238403430805,0.02300350588082252,0.054179508117817896,0.36,0.011883405146473168,-0.016865211649602196,1.0848062875454831,1.082474128310353,0.5984251968503937,,,0.0
expanding,lstm_const,GF,44,pid_cqr,FR,127,0.7952755905511811,0.03546161723376946,0.7777777777777778,0.8021978021978022,0.20049707127844926,0.12736331753080649,0.030921441508006107,0.04221231223963668,0.5769230769230769,0.013474233423639551,-0.005041485524722278,1.0696031951923772,1.0634916858840398,0.47244094488188976,-0.43840648767530344,0.6610916443311847,0.0
expanding,lstm_const,GF,44,pid_cqr,GR,127,0.8346456692913385,0.023313924488728578,0.8888888888888888,0.8131868131868132,1.3713339192397018,1.1368687315237043,0.16626678487962343,0.06819840283637423,0.6666666666666666,0.09123908960778257,0.2234802269310866,1.221387999311431,1.0392393882615918,0.6141732283464567,1.6344484097497447,0.1021647304876181,0.023622047244094488
expanding,lstm_const,GF,44,pid_cqr,IE,127,0.8031496062992126,0.021003398204560278,0.8333333333333334,0.7912087912087912,0.25886782936191205,0.19320374081824815,0.032342662534008325,0.03332142600965547,0.72,0.021058153892588968,0.3727852395068163,1.569747310907472,1.4766156608812344,0.5826771653543307,1.171919352350058,0.2412294365607619,0.0
expanding,lstm_const,GF,44,pid_cqr,IT,127,0.8110236220472441,0.040837692530676345,0.7222222222222222,0.8461538461538461,0.6856383725404736,0.38346385228305646,0.0794878791321387,0.22268664112527875,0.4583333333333333,0.0436766789099402,-0.022365228065826415,1.0173387193412662,1.031852686249837,0.5748031496062992,,,0.0
expanding,lstm_const,GF,44,pid_cqr,NL,127,0.8110236220472441,0.03552914356071085,0.8333333333333334,0.8021978021978022,0.14374639868500713,0.08184323490565519,0.014752154770653472,0.04715100900869849,0.5833333333333334,0.009421260988324815,0.05233634587853442,1.0613244123057555,1.076285582823406,0.5905511811023622,,,0.0
expanding,lstm_const,GF,44,pid_cqr,PT,127,0.8031496062992126,0.02590553588793381,0.8333333333333334,0.7912087912087912,0.5132363134503959,0.311419317628591,0.10022505428238342,0.10159194153942148,0.68,0.03530632340498917,0.3065628497909474,1.1356331236558588,1.0676383301384902,0.5984251968503937,-1.4065096369319159,0.15957284499843682,0.0
expanding,lstm_const,L,42,pid_cqr,AT,127,0.8110236220472441,0.03725835324433815,0.8611111111111112,0.7912087912087912,0.16424561422225115,0.1057785419587188,0.015675689902630918,0.04279138236090138,0.5,0.011151188795265487,0.052293393046949355,1.0675965101189977,1.0552778265672296,0.5590551181102362,-0.14545342522979582,0.8843528858822436,0.0
expanding,lstm_const,L,42,pid_cqr,BE,127,0.8110236220472441,0.031289744585956444,0.7777777777777778,0.8241758241758241,0.1976429159192099,0.13850725903974598,0.026370415219171325,0.03276524166029255,0.5416666666666666,0.0136008009478853,0.09033202666817686,1.0666028458963397,1.0561059914718924,0.5748031496062992,1.2711759713367032,0.20366605287368822,0.0
expanding,lstm_const,L,42,pid_cqr,ES,127,0.8267716535433071,0.03081827275445376,0.8611111111111112,0.8131868131868132,0.3567615227468956,0.26998228452622924,0.043428187148129564,0.04335105107253679,0.5454545454545454,0.02316784542345634,0.10228934824760683,1.0790098624767788,1.067700682448764,0.5905511811023622,1.548096440048633,0.1215990790751258,0.0
expanding,lstm_const,L,42,pid_cqr,FI,127,0.8188976377952756,0.03138908158932591,0.8333333333333334,0.8131868131868132,0.18576758209340144,0.10770619674696827,0.0292580833502112,0.048803301996222,0.4782608695652174,0.011713539923427923,-0.0505251149205157,1.0169738545998743,1.0313694391952444,0.5039370078740157,-0.10628934876173522,0.9153527821751193,0.0
expanding,lstm_const,L,42,pid_cqr,FR,127,0.8031496062992126,0.03507716641860273,0.75,0.8241758241758241,0.20828687594031772,0.14198089274796183,0.027292465961631325,0.039013517230724576,0.6,0.013606745424564215,-0.04408982074174239,1.0495769666461061,1.0227741905948662,0.47244094488188976,-0.5470449914976946,0.5843478225671879,0.0
expanding,lstm_const,L,42,pid_cqr,GR,127,0.8267716535433071,0.023211489778269197,0.8888888888888888,0.8021978021978022,1.4381172360007226,1.1794363568617534,0.08062094401164874,0.17805993512732027,0.5,0.08984821431599246,0.18566407927478945,1.1243543696087845,1.0918820298250087,0.48031496062992124,-0.568625320667011,0.5696104375525939,0.007874015748031496
expanding,lstm_const,L,42,pid_cqr,IE,127,0.8031496062992126,0.03118721779661848,0.8611111111111112,0.7802197802197802,0.27813485441344715,0.19735861032415636,0.04942049765108735,0.03135574643820335,0.56,0.01805919208783333,0.326102874483313,1.1098829980653755,1.1147374825773915,0.5590551181102362,1.1574226414969517,0.24709972804392866,0.0
expanding,lstm_const,L,42,pid_cqr,IT,127,0.8188976377952756,0.03714188023709951,0.7777777777777778,0.8351648351648352,0.7146253411719001,0.40994274877136433,0.09449567103986055,0.2101869213606755,0.4782608695652174,0.045545079487200005,-0.06558811345655902,1.0614174726519707,1.041150142900312,0.4645669291338583,-0.9066460941483642,0.36459397813363026,0.0
expanding,lstm_const,L,42,pid_cqr,NL,127,0.8031496062992126,0.032879291594395475,0.8055555555555556,0.8021978021978022,0.15286935533373347,0.09658407444374556,0.012329898555557625,0.04395538233443025,0.6,0.009472152033838561,-0.007807730865041496,1.0032786475054618,1.0338094021285285,0.5354330708661418,-0.4672066989236507,0.6403520013246855,0.0
expanding,lstm_const,L,42,pid_cqr,PT,127,0.8031496062992126,0.03238894236582394,0.8055555555555556,0.8021978021978022,0.5739787560711114,0.3690053709108658,0.07115753544704496,0.13381584971320046,0.4,0.03626421168809362,0.22449331339264877,1.069058136280494,1.0548980567181847,0.5196850393700787,-0.7450219328343901,0.4562584609342122,0.007874015748031496
expanding,lstm_const,L,43,pid_cqr,AT,127,0.8031496062992126,0.03225271629030715,0.8055555555555556,0.8021978021978022,0.1709253916029663,0.10758600098440574,0.03020141953470284,0.03313797108385772,0.64,0.011223218843588803,0.013750694743217884,1.039266398148667,1.0247589366908736,0.49606299212598426,-0.6721402602417261,0.5014944081428654,0.0
expanding,lstm_const,L,43,pid_cqr,BE,127,0.8188976377952756,0.034995645645639874,0.8333333333333334,0.8131868131868132,0.18948542593185105,0.12943752814693332,0.025607938888470745,0.034439958896446944,0.4782608695652174,0.013326428494530652,0.12787755340645202,1.0662292802721232,1.0406904938048807,0.5039370078740157,-0.09124259867410761,0.9272998272526742,0.0
expanding,lstm_const,L,43,pid_cqr,ES,127,0.8188976377952756,0.03283707242912834,0.8611111111111112,0.8021978021978022,0.3551552153600674,0.25043327231684337,0.06726419178867674,0.03745775125454739,0.6956521739130435,0.023290832706381593,0.10633126184871922,1.0959025558353717,1.0454466429665268,0.47244094488188976,0.10793419542156137,0.9140478915383519,0.0
expanding,lstm_const,L,43,pid_cqr,FI,127,0.8110236220472441,0.038393700283063575,0.8333333333333334,0.8021978021978022,0.18429499614880393,0.10059088932305939,0.03199170475669789,0.05171240206904663,0.4166666666666667,0.01150425893309186,-0.04219756658702423,0.9874673446546715,1.016292159155074,0.5669291338582677,1.4216582648126417,0.15512548147374083,0.0
expanding,lstm_const,L,43,pid_cqr,FR,127,0.7952755905511811,0.03962766459639355,0.75,0.8131868131868132,0.19510816520880617,0.12356759966241007,0.026296873993347673,0.04524369155304839,0.5384615384615384,0.013178595345415219,0.02197174777116706,1.0513315950605038,1.019591593987817,0.48031496062992124,-0.3245703649572676,0.7455062592274206,0.0
expanding,lstm_const,L,43,pid_cqr,GR,127,0.8188976377952756,0.026430305423315432,0.8611111111111112,0.8021978021978022,1.6404482963452776,1.3704890016572162,0.10168271238645434,0.16827658230160691,0.5217391304347826,0.10460595895789113,0.07109382992906188,1.3393308688474508,1.2036671660620166,0.4881889763779528,-0.42045838464075563,0.6741506243422495,0.007874015748031496
expanding,lstm_const,L,43,pid_cqr,IE,127,0.8188976377952756,0.027278138050845006,0.9166666666666666,0.7802197802197802,0.27713810629213204,0.20549804563607565,0.018619073554893555,0.05302098710116277,0.43478260869565216,0.01806328961255158,0.32851791051047674,1.1145966329566843,1.1140764305341517,0.5118110236220472,-0.39100335700694233,0.6957947544720673,0.0
expanding,lstm_const,L,43,pid_cqr,IT,127,0.8110236220472441,0.03668437643288667,0.7222222222222222,0.8461538461538461,0.6742760963424,0.4284776911228513,0.08214140657001175,0.16365699864953695,0.4583333333333333,0.04402482865624868,-0.0054227747816724126,1.052853718194699,1.028797157321759,0.4645669291338583,-0.9066460941483642,0.36459397813363026,0.0
expanding,lstm_const,L,43,pid_cqr,NL,127,0.8031496062992126,0.03119011408952691,0.8055555555555556,0.8021978021978022,0.15774289057733804,0.08584982940643344,0.017441526372824753,0.05445153479807985,0.56,0.009715482249829351,-0.03993703817078176,1.0218195107417511,1.0568548362446821,0.5590551181102362,0.4413933433086661,0.6589282604961704,0.0
expanding,lstm_const,L,43,pid_cqr,PT,127,0.8188976377952756,0.03062344495800999,0.8611111111111112,0.8021978021978022,0.6191672394259913,0.4300996124013404,0.040052645216870825,0.14901498180777997,0.21739130434782608,0.038583492054081674,0.16343883946188764,1.119791422798301,1.1288362634574172,0.5118110236220472,-1.4179505202219638,0.15620521117958663,0.007874015748031496
expanding,lstm_const,L,44,pid_cqr,AT,127,0.7952755905511811,0.034967475850719576,0.8055555555555556,0.7912087912087912,0.16261317556386723,0.11157708865680763,0.022535860824604365,0.028500226082455265,0.6153846153846154,0.010745637464074188,0.06171265766063072,1.0015552482543015,1.0146420266441514,0.5511811023622047,0.565421283636933,0.571787251315784,0.0
expanding,lstm_const,L,44,pid_cqr,BE,127,0.8188976377952756,0.029201974095875226,0.7777777777777778,0.8351648351648352,0.19284532988081882,0.14316325068666425,0.024417775912899828,0.02526430328125473,0.4782608695652174,0.013392299870396062,0.11241331578562852,1.0592137968600792,1.0435485511054354,0.5196850393700787,0.39590082880726635,0.6921781896149364,0.0
expanding,lstm_const,L,44,pid_cqr,ES,127,0.8110236220472441,0.03229385354331137,0.8333333333333334,0.8021978021978022,0.36424493081655224,0.27176401983474757,0.06804079345622444,0.02444011752558022,0.8333333333333334,0.022891148312718924,0.08345902404724004,1.0286617821865378,1.0118710234813835,0.5275590551181102,0.9265358233976578,0.35416758909724644,0.0
expanding,lstm_const,L,44,pid_cqr,FI,127,0.8110236220472441,0.03978600378001194,0.8333333333333334,0.8021978021978022,0.18453777127942758,0.10490779773728169,0.035299375009012854,0.044330598533133064,0.5416666666666666,0.011536252920706952,-0.0435704722852317,0.9918697933481355,1.0079494863478073,0.5511811023622047,1.1278991333686228,0.25936251992644066,0.0
expanding,lstm_const,L,44,pid_cqr,FR,127,0.7952755905511811,0.037733509040271694,0.7222222222222222,0.8241758241758241,0.20888489066076932,0.14087387820437852,0.02997834435047684,0.03803266810591394,0.6153846153846154,0.013407244747312738,-0.04708751840972303,1.0150153523498897,1.010139308338426,0.5275590551181102,0.5166316968229085,0.6054132847068492,0.0
expanding,lstm_const,L,44,pid_cqr,GR,127,0.8346456692913385,0.023893459147704594,0.8888888888888888,0.8131868131868132,1.503329663971248,1.1604522967402877,0.15733255673852917,0.18554481049243088,0.47619047619047616,0.09647523289938356,0.14873744961990532,1.2438231940733904,1.2155240405488978,0.4566929133858268,-1.21608954183934,0.22395081400211891,0.007874015748031496
