model,regime,seed,cp_method,median_skill,mean_skill,mean_coverage,mean_abs_gap,median_mae_ratio,n_countries,valid_country_share,validity_flag,seed_span
lstm_const,GF,42,aci_cqr,0.08624002521530916,0.11663992304350493,0.8133858267716535,0.02629921259842516,1.11059923106435,10,1.0,True,0.008947668093711392
lstm_const,GF,42,pid_cqr,0.08553443495492147,0.11146143551451151,0.8165354330708661,0.01653543307086609,1.11059923106435,10,1.0,True,0.011178856575791651
lstm_const,GF,42,dtaci_cqr,0.08539243986686396,0.1206165148205998,0.8228346456692913,0.026929133858267663,1.11059923106435,10,1.0,True,0.0061069774323150305
rw,L,42,aci_cqr,0.08520442383055238,0.11707798867975305,0.8118110236220473,0.02724409448818895,1.0,10,1.0,True,0.0
lgbm,L,42,agaci_cqr,0.08512168696619599,0.09872437925445597,0.8149606299212598,0.018425196850393656,1.083689554279466,10,1.0,True,0.0
lstm_const,L,42,agaci_cqr,0.0850069372916894,0.09234861725772364,0.8062992125984252,0.02110236220472439,1.0670996780076687,10,1.0,True,0.02865351229964369
rw,L,42,cqr_rolling,0.08457480322110761,0.11350467878625237,0.8299212598425196,0.03653543307086611,1.0,10,0.9,True,0.0
lgbm,GI,42,decay_ocp_cqr,0.08399474432832316,0.097989156041659,0.8125984251968503,0.03559055118110238,1.0699379878423252,10,0.9,True,0.0
lstm_const,L,44,dtaci_cqr,0.08383391009753599,0.0966851939556286,0.8102362204724409,0.015275590551181073,1.0237310741933918,10,1.0,True,0.024752601501568605
lstm_const,L,44,cqr_rolling,0.08371879559396489,0.08319805649047994,0.8220472440944881,0.02803149606299209,1.0237310741933918,10,0.9,True,0.04118729506073421
lgbm,L,42,spci_cqr,0.0828790910573608,0.0565289385601558,0.7653543307086614,0.036850393700787444,1.083689554279466,10,1.0,True,0.0
lstm_const,G,44,agaci_cqr,0.0827483779039116,0.12985577747525628,0.7968503937007874,0.020472440944881876,1.1163553998691171,10,1.0,True,0.027986791619180607
lstm_const,L,44,agaci_cqr,0.08187185574878919,0.09676029738271832,0.8015748031496063,0.0116535433070866,1.0237310741933918,10,1.0,True,0.02865351229964369
rw,L,42,agaci_cqr,0.08174892553862223,0.11883075110634264,0.8023622047244094,0.01811023622047244,1.0,10,1.0,True,0.0
rw,L,42,dtaci_cqr,0.0814902737166257,0.12139098646706577,0.8181102362204724,0.02157480314960627,1.0,10,1.0,True,0.0
rw,L,42,pid_cqr,0.07985030543213423,0.1130979092874433,0.8125984251968503,0.013543307086614132,1.0,10,0.9,True,0.0
tirex2,ZS,42,spci_cqr,0.07957313758907725,0.10206005806851164,0.7622047244094488,0.040000000000000036,0.9964555831295029,10,1.0,True,0.0
lstm_const,G,42,pid_local_cqr,0.07821843867516859,0.07602693123985851,0.8181102362204724,0.01905511811023617,1.0975025838268582,10,1.0,True,0.01806795522044119
tirex,ZS,42,pid_cqr,0.07817960057684353,0.10857168029809716,0.7992125984251969,0.006141732283464552,1.020220385317009,10,0.9,True,0.0
lgbm,G,42,spci_cqr,0.07765899964763168,0.07488354470090074,0.7677165354330708,0.03228346456692919,1.0472634168958308,10,1.0,True,0.0
lgbm,L,42,cqr_rolling,0.07697855244066998,0.09606205307864997,0.8244094488188976,0.03102362204724406,1.083689554279466,10,0.9,True,0.0
lgbm_const,G,42,native,0.07687812096421126,0.05553306060645491,0.8590551181102363,0.07763779527559055,1.0472634168958308,10,0.5,False,0.0
rw,L,42,spci_cqr,0.07523509933089029,0.09135152460506295,0.7669291338582677,0.038425196850393736,1.0,10,0.9,True,0.0
lgbm,L,42,dtaci_cqr,0.07499472317132966,0.09462922958372035,0.8244094488188976,0.025354330708661367,1.083689554279466,10,1.0,True,0.0
lgbm,GI,42,native,0.07450498556627733,0.08240014958633385,0.8527559055118111,0.06188976377952754,1.0699379878423252,10,0.7,True,0.0
lstm_const,L,42,dtaci_cqr,0.07449248162282501,0.08993839024598266,0.8173228346456692,0.019212598425196813,1.0670996780076687,10,1.0,True,0.024752601501568605
xlstm,L,44,decay_ocp_cqr,0.07284347312325984,0.07598807265382065,0.7968503937007874,0.051338582677165366,1.0780731998877844,10,0.6,False,0.0852784468953432
lstm_const,L,44,pid_cqr,0.07258584085393538,0.09100509185072307,0.8078740157480315,0.012283464566929104,1.0237310741933918,10,1.0,True,0.02605305200382091
xlstm_const,L,42,spci_cqr,0.07170058095835191,0.062299106814739026,0.7559055118110236,0.045354330708661426,1.0731227171946855,10,1.0,True,0.07174465393727059
lstm_const,L,42,pid_cqr,0.0713127098575631,0.08131642551296256,0.8125984251968503,0.012598425196850348,1.0670996780076687,10,0.9,True,0.02605305200382091
lgbm,L,42,pid_cqr,0.07107099930785593,0.09067846323214063,0.8118110236220473,0.0118110236220472,1.083689554279466,10,1.0,True,0.0
xlstm,L,44,cqr_rolling,0.0676668549755749,0.06312317393595303,0.805511811023622,0.028188976377952746,1.0780731998877844,10,1.0,True,0.10131025166322283
lgbm,L,42,aci_cqr,0.0674930171601722,0.08911118218684881,0.8165354330708661,0.020629921259842476,1.083689554279466,10,1.0,True,0.0
lstm_const,L,44,spci_cqr,0.0659519416611381,0.05273146961667374,0.7708661417322834,0.039842519685039414,1.0237310741933918,10,0.9,True,0.06181841731728943
lstm_const,GF,44,pid_local_cqr,0.06564967874525696,0.09200606242974536,0.8141732283464567,0.015118110236220427,1.1152851783771938,10,0.9,True,0.018432279957511177
xlstm_const,L,42,pid_cqr,0.06531909451291584,0.08785968868963676,0.8173228346456692,0.01732283464566924,1.0731227171946855,10,1.0,True,0.05089625288317584
xlstm_const,L,42,aci_cqr,0.0646379173673558,0.08348621076371888,0.8165354330708661,0.02629921259842517,1.0731227171946855,10,1.0,True,0.07251805541910405
xlstm,L,44,dtaci_cqr,0.06297607209304801,0.06623886700326542,0.8181102362204724,0.02976377952755902,1.0780731998877844,10,1.0,True,0.07892137156029999
xlstm_const,L,42,agaci_cqr,0.06271505892828189,0.08654040127649418,0.8133858267716535,0.019370078740157438,1.0731227171946855,10,1.0,True,0.06838115490820607
lstm_const,G,44,pid_local_cqr,0.06270767662613974,0.08751864471314974,0.8133858267716535,0.01433070866141728,1.1163553998691171,10,0.9,True,0.01806795522044119
lstm_const,GF,42,pid_local_cqr,0.062444882451368755,0.0776087446665674,0.8188976377952756,0.019842519685039316,1.11059923106435,10,1.0,True,0.018432279957511177
xlstm,L,44,agaci_cqr,0.06217255034093244,0.06356410045637846,0.8078740157480315,0.027401574803149586,1.0780731998877844,10,1.0,True,0.08146870911343079
lstm,L,42,pid_cqr,0.062101521778805846,0.08859315533752263,0.8102362204724409,0.011181102362204686,1.0670996780076687,10,1.0,True,0.02973817066796114
