label,rq,a,b,median_dbar_norm,share_a_better,share_sig,median_p,t_panel,n_countries,median_q,share_sig_fdr
RQ2 lgbm/L (decay_ocp_cqr): adaptiv vs const,RQ2,lgbm/L/42/decay_ocp_cqr,lgbm_const/L/42/decay_ocp_cqr,-0.07454788689080451,0.8,0.5,0.10435802721403387,-5.870920518127373,10,0.1935698260478908,0.5
RQ2 lgbm/L (dtaci_cqr): adaptiv vs const,RQ2,lgbm/L/42/dtaci_cqr,lgbm_const/L/42/dtaci_cqr,-0.008958975512448385,0.6,0.2,0.6123588204828028,-1.0877956577651846,10,0.7506160380029643,0.1
RQ2 lgbm/L (mondrian_cqr): adaptiv vs const,RQ2,lgbm/L/42/mondrian_cqr,lgbm_const/L/42/mondrian_cqr,-0.008195063953646942,0.5,0.4,0.3119023470221832,-1.4613672841773977,10,0.4469909387936998,0.1
RQ2 lgbm/L (native): adaptiv vs const,RQ2,lgbm/L/42/native,lgbm_const/L/42/native,-0.07279083188466848,0.8,0.4,0.21386595779695172,-4.422249838842211,10,0.35634345655312305,0.4
RQ2 lgbm/L (pid_cqr): adaptiv vs const,RQ2,lgbm/L/42/pid_cqr,lgbm_const/L/42/pid_cqr,-0.015653631802832094,0.6,0.2,0.5466749794648016,-0.8624742644984632,10,0.6989757577427609,0.1
RQ2 lgbm/L (pid_local_cqr): adaptiv vs const,RQ2,lgbm/L/42/pid_local_cqr,lgbm_const/L/42/pid_local_cqr,-0.014457743011167026,0.7,0.2,0.6428612954952939,-1.8920625524232266,10,0.7743475322231934,0.1
RQ2 lgbm/L (pid_tan_cqr): adaptiv vs const,RQ2,lgbm/L/42/pid_tan_cqr,lgbm_const/L/42/pid_tan_cqr,0.008812086400257635,0.5,0.1,0.45068688333526474,0.2753231248133704,10,0.6143200196898368,0.0
RQ2 lgbm/L (saocp_cqr): adaptiv vs const,RQ2,lgbm/L/42/saocp_cqr,lgbm_const/L/42/saocp_cqr,-0.06608400108901608,0.8,0.4,0.19676175217424974,-3.4933917745982015,10,0.3450130157665624,0.3
RQ2 lgbm/L (sfogd_cqr): adaptiv vs const,RQ2,lgbm/L/42/sfogd_cqr,lgbm_const/L/42/sfogd_cqr,-0.005309833487524397,0.6,0.2,0.5089972480090936,-1.732551811416536,10,0.6644539945546598,0.1
RQ2 lgbm/L (spci_cqr): adaptiv vs const,RQ2,lgbm/L/42/spci_cqr,lgbm_const/L/42/spci_cqr,-0.025359451348726178,0.6,0.2,0.26022519779400866,-1.4694389189672448,10,0.4213889684200635,0.2
