model,regime,seed,cp_method,median_sharpe,active_share,median_cap_ratio
lstm,GI,43,cqr_static,0.22054987634421874,0.06929133858267716,
lstm,GI,43,decay_ocp_cqr,,0.0,
lstm,GI,43,dtaci_cqr,0.31312130305257585,0.014960629921259844,0.7797727715835152
lstm,GI,43,mondrian_cqr,0.12665868795860502,0.013385826771653541,0.8506546148324508
lstm,GI,43,native,,0.0,
lstm,GI,43,pid_cqr,-0.07692367234071766,0.02047244094488189,0.7318910695899494
lstm,GI,43,pid_local_cqr,0.1591602719468562,0.02283464566929134,0.7388008842983997
lstm,GI,43,pid_tan_cqr,0.08589817436242539,0.053543307086614166,
lstm,GI,43,saocp_cqr,,0.0,
lstm,GI,43,sfogd_cqr,0.21381288799583545,0.04330708661417323,0.7144294782375649
lstm,GI,43,spci_cqr,0.2788733759816105,0.04488188976377953,0.7124677398135647
lstm,GI,44,aci_cqr,-0.6073345544993524,0.006299212598425197,0.6718104559716787
lstm,GI,44,agaci_cqr,0.09392829325620249,0.005511811023622047,0.6512617162898751
lstm,GI,44,cqr_rolling,-0.40972081711447517,0.0015748031496062992,0.6805469398580882
lstm,GI,44,cqr_static,0.3779895164931144,0.006299212598425197,
lstm,GI,44,decay_ocp_cqr,-0.3916868306395594,0.002362204724409449,
lstm,GI,44,dtaci_cqr,-0.307389311747136,0.0007874015748031496,0.6748021224333263
lstm,GI,44,mondrian_cqr,0.08139743503832983,0.004724409448818898,
lstm,GI,44,native,0.28507119215440235,0.01889763779527559,
lstm,GI,44,pid_cqr,0.2494756010606284,0.006299212598425197,0.6116164518062128
lstm,GI,44,pid_local_cqr,0.3073893117471359,0.009448818897637795,0.6308910980264755
lstm,GI,44,pid_tan_cqr,0.1939213893246357,0.024409448818897637,
lstm,GI,44,saocp_cqr,0.30738931174713585,0.002362204724409449,0.7455024454073178
lstm,GI,44,sfogd_cqr,-0.03437157557188682,0.011811023622047244,0.6790533149707193
lstm,GI,44,spci_cqr,-0.2853842699321306,0.01811023622047244,0.6481771582307934
lstm,L,42,aci_cqr,0.32172372584256514,0.030708661417322834,0.6224656150278154
lstm,L,42,agaci_cqr,0.4557857315765438,0.02125984251968504,0.6248671615939245
lstm,L,42,cqr_rolling,0.33304033415591605,0.027559055118110236,0.6244200569035063
lstm,L,42,cqr_static,0.34153014933078074,0.05669291338582677,
lstm,L,42,decay_ocp_cqr,0.26258950318673585,0.011023622047244094,0.6193131174016758
lstm,L,42,dtaci_cqr,0.48167263358849394,0.01968503937007874,0.639851056360961
lstm,L,42,mondrian_cqr,0.4531333758060342,0.013385826771653541,
lstm,L,42,native,0.17339145223598718,0.005511811023622047,
lstm,L,42,pid_cqr,0.6206784753012389,0.01968503937007874,0.6369169086459168
lstm,L,42,pid_local_cqr,-0.0800077591636248,0.025984251968503937,0.6666408671183237
lstm,L,42,pid_tan_cqr,-0.3073893117471358,0.04330708661417323,
lstm,L,42,saocp_cqr,,0.0,
lstm,L,42,sfogd_cqr,0.04646723572496066,0.031496062992125984,0.6410335325079952
lstm,L,42,spci_cqr,0.307389311747136,0.03858267716535433,0.6284393675274308
lstm,L,43,aci_cqr,0.12489938440878973,0.029921259842519688,0.6355588782172288
lstm,L,43,agaci_cqr,0.11116496318630263,0.02283464566929134,0.6300033812125725
lstm,L,43,cqr_rolling,0.23176321067411518,0.025984251968503937,0.6459123001665246
lstm,L,43,cqr_static,0.307389311747136,0.01653543307086614,
lstm,L,43,decay_ocp_cqr,-0.06506175180515408,0.011811023622047244,0.6273666464190908
lstm,L,43,dtaci_cqr,0.1974036692036003,0.023622047244094488,0.6462276305502435
lstm,L,43,mondrian_cqr,0.1532989394579731,0.007874015748031496,0.776908655811531
lstm,L,43,native,-0.307389311747136,0.0007874015748031496,
lstm,L,43,pid_cqr,0.11397671124661822,0.026771653543307083,0.6202671323500126
lstm,L,43,pid_local_cqr,0.3033754601136641,0.03228346456692913,0.6424846788140611
lstm,L,43,pid_tan_cqr,0.04082982678035374,0.05511811023622047,
lstm,L,43,saocp_cqr,-0.307389311747136,0.0007874015748031496,
lstm,L,43,sfogd_cqr,0.07241586632113309,0.04094488188976378,0.6523575007202578
lstm,L,43,spci_cqr,0.043897037740141295,0.04330708661417323,0.6312336509717063
lstm,L,44,aci_cqr,0.17374380050547428,0.01968503937007874,0.6698719482587531
lstm,L,44,agaci_cqr,0.1742755626313124,0.02047244094488189,0.666847290119829
lstm,L,44,cqr_rolling,0.15290822249835423,0.01889763779527559,0.6607476309776588
lstm,L,44,cqr_static,-0.09076188530178216,0.059842519685039376,0.6471736369194274
lstm,L,44,decay_ocp_cqr,0.29985115587260824,0.014173228346456693,0.6378327407795075
lstm,L,44,dtaci_cqr,0.2132139975995323,0.01653543307086614,0.6765786019667991
lstm,L,44,mondrian_cqr,0.13411847904381954,0.007086614173228346,0.800902542145866
lstm,L,44,native,-0.12715436557485083,0.013385826771653541,
lstm,L,44,pid_cqr,-0.10959493040742865,0.029921259842519688,0.6326802290564489
lstm,L,44,pid_local_cqr,0.2680589204281526,0.028346456692913385,0.6473034555042427
lstm,L,44,pid_tan_cqr,-0.08176993748574188,0.03543307086614173,
lstm,L,44,saocp_cqr,0.22675068907202106,0.0031496062992125984,
lstm,L,44,sfogd_cqr,0.12550305176236543,0.03700787401574803,0.6600628612649732
lstm,L,44,spci_cqr,0.07511382265229234,0.03779527559055118,0.6461194783412838
lstm_const,G,42,aci_cqr,,0.0,0.6181372876839937
lstm_const,G,42,agaci_cqr,0.307389311747136,0.0007874015748031496,0.6314685176469945
lstm_const,G,42,cqr_rolling,,0.0,0.6437806263037513
