label,rq,country,n,dbar,dbar_norm,t_hln,p_hln,q_hln
XM tirex2/ZS/cqr_static vs lgbm_const/G/cqr_rolling,XM,IE,127,-0.04529255643461698,-0.1097400167733707,-1.9102650958613931,0.05837162421068931,0.22796018922517716
XM tirex2/ZS/cqr_static vs lgbm_const/G/cqr_rolling,XM,IT,127,-0.05823212284440464,-0.086830755011546,-2.170418581860524,0.03185035949168058,0.17321432685736896
XM tirex2/ZS/cqr_static vs lgbm_const/G/cqr_rolling,XM,NL,127,-0.007360018058413496,-0.0485217137364262,-1.1368265080526272,0.25776822855966763,0.536678330755144
XM tirex2/ZS/cqr_static vs lgbm_const/G/cqr_rolling,XM,PT,127,-0.04362691704887792,-0.05894463084148961,-0.9164453717630413,0.36118406798312686,0.6240353007038317
XM tirex2/ZS/cqr_static vs xlstm/L/native,XM,AT,127,-0.008548768545816357,-0.049326884437959045,-0.7327483784046549,0.46507287192110613,0.6960274273649207
XM tirex2/ZS/cqr_static vs xlstm/L/native,XM,BE,127,-0.011977769802874528,-0.055128682608942256,-1.4692113218278848,0.14426785315451918,0.38549304891490954
XM tirex2/ZS/cqr_static vs xlstm/L/native,XM,ES,127,-0.0249464849952799,-0.06277225506723703,-1.2321063090481876,0.2202036887455312,0.4796515992476917
XM tirex2/ZS/cqr_static vs xlstm/L/native,XM,FI,127,-0.009564683400974588,-0.05408877057965479,-1.3120992946925827,0.19187201502958584,0.4506602488239383
XM tirex2/ZS/cqr_static vs xlstm/L/native,XM,FR,127,0.0003981714625291262,0.001995933584675948,0.042339335624017295,0.9662952083803562,0.9872365906053175
XM tirex2/ZS/cqr_static vs xlstm/L/native,XM,GR,127,-0.29697533982886565,-0.16816270658486154,-3.4439962658796732,0.0007788320702646345,0.02570145831873294
XM tirex2/ZS/cqr_static vs xlstm/L/native,XM,IE,127,-0.07694901435951294,-0.1864409252036229,-3.3965980413762535,0.0009133413023130199,0.026048480646374016
XM tirex2/ZS/cqr_static vs xlstm/L/native,XM,IT,127,-0.049463584011464695,-0.07375586077753998,-1.4369944892845576,0.1531981251064194,0.3965392948031233
